;Coal;Oil;Gas;Biofuels;Waste;Nuclear;Hydro;Geothermal;Solar PV;Solar thermal;Wind;Tide
Albania;0;0;0;0;0;0;5895;0;0;0;0;0
Alemania;283710;6209;63017;44555;12824;91786;24898;134;38726;0;79206;0
Algeria;0;908;67668;0;0;0;145;0;58;0;19;0
Angola;0;4572;0;0;0;0;5193;0;0;0;0;0
Arabia Saudita;0;149537;188804;0;0;0;0;0;1;0;0;0
Argentina;3303;22357;71367;2138;0;7139;38529;0;15;0;599;0
Armenia;0;0;2801;0;0;2788;2206;0;1;0;3;0
Australia;158610;6799;52462;3608;0;0;13445;1;5019;4;11467;0
Austria;5081;861;7783;4121;1069;0;40592;0;937;0;4840;0
Azerbaijan;0;1607;21252;0;182;0;1637;0;5;0;5;0
Bangladesh;997;9666;47624;0;0;0;566;0;154;0;4;0
Baréin;0;9;28475;0;0;0;0;0;0;0;0;0
Bélgica;4248;209;22029;4640;2123;26103;1418;0;3053;0;5574;0
Benín;0;323;0;0;0;0;14;0;5;0;0;0
Bielorusia;38;362;33355;137;49;0;107;0;8;0;26;0
Birmania;285;55;6231;0;0;0;9399;0;0;0;0;0
Bolivia;0;192;6253;192;0;0;2463;0;11;0;12;0
Bosnia y Herzegovina;9994;51;33;0;0;0;5551;0;0;0;0;0
Botsuana;2859;107;0;0;0;0;0;0;2;0;0;0
Brasil;27468;29340;79490;48802;0;14734;359743;0;59;0;21626;0
Brunéi;0;42;4156;0;0;0;0;0;2;0;0;0
Bulgaria;22522;182;1864;272;0;15383;6147;0;1383;0;1452;0
Camboya;2128;228;0;38;0;0;2000;0;3;0;0;0
Camerún;0;2095;1486;3;0;0;4359;0;0;0;0;0
Canada;65176;8087;68510;12511;265;101809;382293;0;2895;0;26446;13
Chile;28002;3156;11357;5615;0;0;23881;0;1261;0;2115;0
China;4133838;9909;158196;52801;11029;170789;1130270;125;44783;27;185768;8
Chipre;0;4135;0;51;0;0;0;0;126;0;221;0
Colombia;7090;3057;17955;1371;0;0;48568;0;0;0;68;0
Congo;0;0;809;0;0;0;925;0;0;0;0;0
Corea del Norte;2924;813;0;0;0;0;10000;0;0;0;0;0
Corea del Sur;236586;12518;122856;2487;663;164762;5796;0;3975;0;1342;496
Costa de Marfil;0;455;6799;105;0;0;1352;0;0;0;0;0
Costa Rica;0;108;0;179;0;0;8067;1375;3;0;1080;0
Croacia;2310;221;1197;266;0;0;6556;0;57;0;796;0
Cuba;0;16537;2950;703;0;0;48;0;31;0;19;0
Curazao;0;591;0;0;0;0;0;0;29;0;200;0
Dinamarca;7110;312;1805;3294;1670;0;18;0;604;0;14133;0
Ecuador;0;8919;3272;408;0;0;13096;0;36;0;99;0
